brand_name,year,month,units,gms
CHETAK,2024,12,247,23785711.00000000000000
VIDA,2024,10,591,77476914.92000000000000
VIDA,2024,8,163,21673700.00000000000000
VIDA,2025,7,241,28698135.72000000000000
VIDA,2025,5,247,29622496.00000000000000
VIDA,2025,10,128,15260100.00000000000000
VIDA,2025,11,-3,-321000.00000000000000
VIDA,2025,6,203,24256900.00000000000000
VIDA,2024,6,363,48323600.00000000000000
VIDA,2024,7,119,16008100.00000000000000
VIDA,2024,11,14,1732890.48000000000000
VIDA,2025,9,131,15382400.00000000000000
VIDA,2025,8,85,10262800.00000000000000
VIDA,2025,3,428,48886476.18000000000000
VIDA,2026,4,71,7977310.00000000000000
VIDA,2026,3,33,3746420.00000000000000
GREEN,2025,4,178,5439777.63000000000000
BAJAJ,2025,5,41,4221427.20000000000000
BAJAJ,2025,8,94,9746265.80000000000000
GREEN,2025,10,390,9186957.94000000000000
GREEN,2025,11,81,2914703.89000000000000
BAJAJ,2026,2,15,1495241.24000000000000
BAJAJ,2026,3,11,1185204.00000000000000
GREEN,2024,7,317,8152745.02000000000000
GREEN,2025,12,103,3232287.16000000000000
GREEN,2024,12,-490,-11320309.63000000000000
BAJAJ,2025,7,102,10400346.80000000000000
GREEN,2024,9,244,7361293.86000000000000
GREEN,2026,3,25,720787.80000000000000
BAJAJ,2025,1,81,8199657.30000000000000
BAJAJ,2025,9,14,1473717.20000000000000
GREEN,2026,2,70,2121269.47000000000000
BAJAJ,2025,2,50,4896673.96000000000000
BAJAJ,2025,10,34,3140358.00000000000000
GREEN,2025,2,127,4076068.82000000000000
BAJAJ,2025,6,89,8966232.80000000000000
BAJAJ,2024,12,54,5488781.80000000000000
BAJAJ,2026,1,27,2779811.00000000000000
BAJAJ,2025,4,26,2450379.56000000000000
BAJAJ,2024,11,19,1949960.20000000000000
GREEN,2025,7,388,10507994.31000000000000
GREEN,2025,8,281,7279740.69000000000000
GREEN,2024,11,752,17208129.07000000000000
GREEN,2025,9,275,6862518.03000000000000
GREEN,2025,1,667,15541064.01000000000000
GREEN,2024,5,111,2928333.38000000000000
GREEN,2026,1,81,2486871.71000000000000
BAJAJ,2024,10,1,109997.00000000000000
AMO,2025,7,11,875635.26000000000000
AMO,2025,3,19,1354304.77000000000000
AMO,2025,1,6,339264.76000000000000
AMO,2026,4,7,268548.66000000000000
AMO,2024,9,18,1129784.68000000000000
AMO,2024,8,19,1103625.75000000000000
BAJAJ CT,2025,5,3,215142.40000000000000
BAJAJ CT,2024,7,4,281536.00000000000000
PULSAR,2025,10,2626,272774852.96000000000000
PULSAR,2025,9,2139,216244739.88000000000000
PULSAR,2025,8,536,62842008.55000000000000
PULSAR,2025,5,237,27041977.80000000000000
PULSAR,2025,1,176,20354208.81000000000000
OLA,2025,7,47,5999654.00000000000000
OLA,2025,4,-2,-234998.00000000000000
PULSAR,2025,12,199,22178971.34000000000000
PULSAR,2024,7,26,2598652.80000000000000
OLA,2025,9,-8,-939492.00000000000000
OLA,2025,6,3,356997.00000000000000
AMO,2025,2,7,523560.01000000000000
AMO,2024,10,73,2685962.57000000000000
BAJAJ CT,2024,9,19,1328856.20000000000000
BAJAJ CT,2025,2,4,281152.00000000000000
BAJAJ CT,2025,11,13,875301.80000000000000
BAJAJ CT,2025,3,11,775080.40000000000000
BAJAJ CT,2025,7,17,1231648.40000000000000
BAJAJ CT,2026,1,22,1473455.60000000000000
BAJAJ CT,2025,12,22,1482693.20000000000000
AMO,2025,8,10,747447.62000000000000
AMO,2025,9,84,3471172.22000000000000
AMO,2025,5,14,1013467.62000000000000
AMO,2024,11,2,106701.89000000000000
BAJAJ CT,2025,6,12,867488.00000000000000
BAJAJ CT,2024,10,55,3876451.00000000000000
BAJAJ CT,2025,10,87,5871292.00000000000000
AMO,2025,10,192,8234051.74000000000000
BAJAJ CT,2024,11,4,280889.60000000000000
AMO,2024,12,0,24144.76000000000000
AMO,2025,4,14,1006155.25000000000000
BAJAJ CT,2025,8,12,871495.80000000000000
BAJAJ CT,2024,8,10,704921.60000000000000
AMO,2026,1,24,961467.70000000000000
AMO,2025,11,16,864042.03000000000000
AMO,2026,3,44,1987943.54000000000000
AMO,2025,12,13,606147.16000000000000
AMO,2026,2,18,742366.02000000000000
BAJAJ CT,2025,9,81,5448533.52000000000000
BAJAJ CT,2025,4,10,704896.00000000000000
BAJAJ CT,2026,4,2,141388.00000000000000
BAJAJ CT,2026,2,13,884519.00000000000000
BAJAJ CT,2026,3,16,1097225.00000000000000
BAJAJ CT,2025,1,7,490131.20000000000000
BAJAJ CT,2024,12,1,70419.20000000000000
AMO,2025,6,9,668178.09000000000000
PULSAR,2026,1,508,53895313.25000000000000
PULSAR,2026,2,250,29604114.73000000000000
PULSAR,2025,3,146,16422963.00000000000000
PULSAR,2025,4,116,12352163.56000000000000
